name		left	top	right	bottom transitionx	transitiony
slash_jump_01	13	1077	65	1131	0	0
slash_jump_02	75	1075	125	1127	0	0
slash_jump_03	140	1067	187	1133	0	0
slash_jump_04	199	1078	251	1134	0	0
slash_jump_05	266	1079	349	1130	0	0
slash_jump_06	361	1087	408	1142	0	0
slash_laydown_01	9	640	56	673	0	0
slash_laydown_02	64	642	109	673	0	0
slash_laydown_03	115	640	186	673	0	0
slash_laydown_04	193	639	285	673	0	0
slash_laydown_05	298	640	382	673	0	0
slash_laydown_06	392	640	463	673	0	0
slash_laydown_07	475	642	520	673	0	0
climb_vertical_01	11	1362	40	1448	0	0
climb_vertical_02	53	1361	81	1450	0	0
climb_vertical_03	94	1374	122	1448	0	0
climb_vertical_04	133	1377	175	1439	0	0
climb_vertical_05	186	1363	217	1439	0	0
climb_vertical_06	231	1358	260	1444	0	0
climb_vertical_07	274	1367	302	1446	0	0
climb_vertical_08	314	1377	346	1440	0	0
climb_vertical_09	356	1377	398	1439	0	0
climb_vertical_10	406	1362	434	1443	0	0
boring_01	6	83	46	135	0	0
boring_02	51	81	112	134	0	0
boring_03	116	80	178	134	0	0
boring_04	180	81	221	134	0	0
boring_05	228	81	267	134	0	0
boring_06	275	81	311	134	0	0
boring_07	319	81	359	134	0	0
boring_08	366	79	407	134	0	0
boring_09	417	61	460	134	0	0
boring_10	465	57	507	134	0	0
boring_11	516	63	558	134	0	0
boring_12	568	72	610	134	0	0
boring_13	619	80	660	134	0	0
boring_14	668	80	708	134	0	0
boring_15	715	81	754	134	0	0
boring_circus_01	3	165	39	218	0	0
boring_circus_02	46	165	86	218	0	0
boring_circus_03	91	163	132	218	0	0
boring_circus_04	140	155	178	218	0	0
boring_circus_05	188	151	229	218	0	0
boring_circus_06	238	159	280	217	0	0
boring_circus_07	287	168	325	217	0	0
boring_circus_08	334	168	373	217	0	0
boring_circus_09	378	168	417	217	0	0
boring_circus_10	425	156	463	217	0	0
boring_circus_11	472	150	510	217	0	0
boring_circus_12	519	143	555	217	0	0
boring_circus_13	568	138	607	217	0	0
boring_circus_14	615	155	657	217	0	0
boring_circus_15	666	163	707	217	0	0
boring_circus_16	715	163	755	217	0	0
boring_circus_17	762	164	801	217	0	0
apple_01	373	24	380	31	0	0
apple_02	394	23	401	33	0	0
apple_03	414	18	434	36	0	0
apple_04	444	16	473	38	0	0
apple_05	485	14	516	39	0	0
apple_06	532	13	562	40	0	0
stand_throw_01		7	235	50	291	0	0
stand_throw_02		57	232	98	291	0	0
stand_throw_03		109	233	147	291	0	0
stand_throw_04		163	231	209	291	0	0
stand_throw_05		221	233	258	291	0	0
stand_throw_06		268	239	307	291	0	0
lookup_slash_01	11	420	53	473	0	0
lookup_slash_02	66	413	104	473	0	0
lookup_slash_03	111	412	179	473	0	0
lookup_slash_04	193	415	240	473	0	0
lookup_slash_05	249	418	296	472	0	0
lookup_slash_06	298	424	352	472	0	0
lookup_slash_07	363	401	437	472	0	0
lookup_slash_08	452	386	506	472	0	0
lookup_slash_09	520	401	569	472	0	0
lookup_slash_10	584	405	635	472	0	0
lookup_slash_11	644	415	697	472	0	0
lookup_slash_12	704	418	750	472	0	0
throw_laydown_01	9	571	46	615	0	0
throw_laydown_02	58	567	95	615	0	0
throw_laydown_03	107	571	157	619	0	0
throw_laydown_04	164	578	246	615	0	0
throw_laydown_05	256	579	313	616	0	0
throw_jump_01	19	1005	68	1061	0	0
throw_jump_02	77	1005	120	1061	0	0
throw_jump_03	132	1005	171	1061	0	0
throw_jump_04	185	1005	237	1061	0	0
throw_jump_05	253	1005	293	1061	0	0
landing_01		15	901	69	984	0	0
landing_02		87	911	141	976	0	0
landing_03		145	942	212	979	0	0
landing_04		215	949	279	978	0	0
landing_05		288	950	356	980	0	0
landing_06		366	948	442	982	0	0
landing_07		451	935	537	982	0	0
landing_08		549	928	635	983	0	0
landing_09		644	925	740	986	0	0
landing_10		748	925	844	986	0	0
landing_11		853	926	955	986	0	0
landing_12		968	928	1070	978	0	0
tumble_01	12	1154	61	1208	0	0
tumble_02	76	1162	113	1194	0	0
tumble_03	135	1160	170	1194	0	0
tumble_04	190	1160	228	1200	0	0
tumble_05	252	1165	290	1196	0	0
tumble_06	306	1158	343	1196	0	0
tumble_07	362	1161	401	1196	0	0
tumble_08	417	1156	460	1198	0	0
braking_01		11	1293	68	1350	0	0
braking_02		83	1294	127	1350	0	0
braking_03		134	1284	185	1350	0	0
braking_04		200	1283	246	1348	0	0
braking_05		256	1285	298	1349	0	0
braking_06		309	1306	364	1352	0	0
braking_07		376	1308	428	1352	0	0
braking_08		437	1300	483	1352	0	0
braking_09		498	1294	549	1351	0	0
climb_horizon_01	588	1467	628	1545	0	0
climb_horizon_02	527	1468	581	1553	0	0
climb_horizon_03	466	1468	518	1553	0	0
climb_horizon_04	403	1468	447	1553	0	0
climb_horizon_05	344	1468	380	1553	0	0
climb_horizon_06	284	1468	327	1553	0	0
climb_horizon_07	222	1468	272	1553	0	0
climb_horizon_08	151	1468	208	1553	0	0
climb_horizon_09	74	1468	121	1553	0	0
climb_horizon_10	18	1468	52	1553	0	0
climb_horizon_boring_01		220	1562	269	1652	0	0	
climb_horizon_boring_02		164	1562	211	1652	0	0
climb_horizon_boring_03		112	1562	153	1652	0	0
climb_horizon_boring_04		55	1562	95	1652	0	0
climb_horizon_boring_05		2	1562	40	1652	0	0
throw_climb_01		255	1666	292	1753	-12	0
throw_climb_02		199	1666	240	1753	-15	0
throw_climb_03		129	1665	180	1753	-26	0
throw_climb_04		82	1664	113	1753	-6	0
throw_climb_05		12	1664	69	1753	-12	0
slash_climb_01		493	1775	541	1864	-23	0
slash_climb_02		423	1775	475	1864	-24	0
slash_climb_03		349	1775	410	1864	0	0
slash_climb_04		256	1775	309	1864	-21	0
slash_climb_05		174	1775	229	1864	-23	0
slash_climb_06		81	1775	153	1864	-22	0
slash_climb_07		9	1775	57	1864	-23	0
jump_out_01		10	1870	44	1943	0	0
jump_out_02		65	1873	90	1950	0	0
jump_out_03		100	1874	136	1945	0	0
jump_out_04		144	1874	192	1938	0	0
jump_out_05		204	1875	263	1929	0	0
jump_out_06		281	1876	340	1917	0	0
jump_out_07		354	1869	406	1923	0	0
jump_out_08		422	1871	469	1938	0	0
jump_out_09		482	1866	527	1941	0	0
push_01		7	1959	63	2005	0	0
push_02		75	1961	140	2005	0	0
push_03		157	1961	227	2006	0	0
push_04		237	1962	314	2006	0	0
push_05		327	1964	399	2008	0	0
push_06		416	1965	482	2009	0	0
push_07		495	1965	570	2009	0	0
push_08		585	1966	666	2010	0	0
push_09		681	1968	756	2012	0	0
burnedaa_01		10	2029	64	2091	0	0
burnedaa_02		82	2033	132	2096	0	0
burnedaa_03		150	2035	195	2095	0	0
burnedaa_04		211	2038	261	2097	0	0
burnedaa_05		272	2041	328	2095	0	0
burnedaa_06		341	2042	400	2101	0	0
burnedaa_07		416	2034	474	2103	0	0
burnedaa_08		488	2034	543	2104	0	0
unknown_twentysixth_01		9	2111	61	2149	0	0
unknown_twentysixth_02		68	2110	120	2149	0	0
unknown_twentysixth_03		129	2110	181	2149	0	0
unknown_twentysixth_04		190	2111	242	2149	0	0
unknown_twentysixth_05		259	2126	322	2148	0	0
unknown_twentysixth_06		333	2107	388	2149	0	0
burned_01	9	2167	51	2213	0	0
burned_02	58	2161	113	2213	0	0
burned_03	122	2162	181	2212	0	0
burned_04	189	2163	269	2211	0	0
burned_05	282	2160	343	2211	0	0	
burned_06	351	2161	410	2210	0	0
die_01		1	2234	81	2282	0	0
die_02		87	2231	148	2282	0	0
die_03		160	2224	205	2282	0	0
die_04		213	2224	258	2282	0	0
die_05		264	2231	303	2281	0	0
die_06		312	2230	352	2281	0	0
die_07		361	2230	396	2281	0	0
die_08		407	2230	443	2281	0	0
die_09		454	2232	493	2281	0	0
die_10		505	2227	549	2283	0	0
die_11		560	2228	601	2281	0	0
die_12		614	2232	653	2282	0	0
die_13		661	2232	701	2283	0	0
care_01		2	2335	39	2386	0	0
care_02		49	2329	86	2386	0	0
care_03		97	2331	140	2386	0	0
care_04		148	2333	209	2386	0	0
care_05		223	2336	284	2387	0	0
care_06		296	2310	372	2393	0	0
care_07		383	2309	460	2394	0	0
care_08		476	2309	551	2394	0	0
care_09		567	2311	635	2394	0	0
care_10		654	2313	720	2394	0	0
care_11		734	2321	800	2395	0	0
care_12		811	2323	877	2397	0	0
care_13		888	2323	954	2397	0	0
care_14		970	2325	1036	2399	0	0
care_15		1049	2325	1115	2399	0	0
revive_01	2	2472	66	2541	0	0
revive_02	79	2475	135	2541	0	0
revive_03	143	2508	163	2541	0	0
revive_04	173	2503	196	2541	0	0	
revive_05	205	2495	230	2541	0	0
revive_06	243	2483	270	2541	0	0
revive_07	278	2474	316	2541	0	0
revive_08	333	2460	370	2541	0	0
revive_09	382	2460	424	2544	0	0
revive_10	442	2454	495	2541	0	0
revive_11	510	2441	553	2541	0	0
revive_12	563	2426	613	2541	0	0
revive_13	623	2407	668	2541	0	0
revive_14	682	2400	722	2541	0	0
jealous_01		3	2565	47	2627	0	0
jealous_02		60	2566	109	2625	0	0
jealous_03		123	2566	158	2623	0	0
jealous_04		166	2565	206	2626	0	0
jealous_05		215	2567	251	2627	0	0
jealous_06		263	2564	301	2627	0	0
jealous_07		310	2565	358	2624	0	0
jealous_08		372	2564	409	2625	0	0
fly_jasmine_01	9	2654	60	2684	0	0
fly_jasmine_02	68	2653	118	2683	0	0
fly_jasmine_03	128	2654	179	2683	0	0
fly_jasmine_04	189	2653	240	2683	0	0
fly_jasmine_05	251	2653	302	2683	0	0
kiss_jasmine_01		333	2643	380	2703	0	0
kiss_jasmine_02		388	2644	435	2704	0	0
kiss_jasmine_03		441	2645	486	2705	0	0
kiss_jasmine_04		493	2646	538	2706	0	0
kiss_jasmine_05		548	2648	593	2707	0	0
kiss_jasmine_06		603	2650	645	2708	0	0
kiss_jasmine_07		654	2653	703	2709	0	0
kiss_jasmine_08		715	2653	764	2710	0	0
kiss_jasmine_09		773	2655	822	2712	0	0
kiss_jasmine_10		830	2656	880	2712	0	0
